Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Hyundai,2014,Xcent S 1.2,Xcent S 1.2,Manual,"95,827 km",2nd owner,Petrol,MH04-GM2201,"₹8,319/month",₹3.74 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2013,Swift VXI,Swift VXI,Manual,"55,952 km",1st owner,Petrol,MH04-GJ1996,"₹9,322/month",₹3.54 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Wagon R 1.0 LXI,Wagon R 1.0 LXI,Manual,"67,447 km",1st owner,Petrol,MH03-BS8734,"₹6,740/month",₹3.03 Lakh,On Zero down payment,"Mulund West, Mumbai"
Volkswagen,2019,Ameo COMFORTLINE 1.0L,Ameo COMFORTLINE 1.0L,Manual,"34,651 km",2nd owner,Petrol,MH05-EA3696,"₹11,183/month",₹5.72 Lakh,On Zero down payment,Seawood
Honda,2018,WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Manual,"22,652 km",1st owner,Petrol,MH02-EZ4913,"₹14,213/month",₹7.27 Lakh,On Zero down payment,"Mulund West, Mumbai"
Ford,2016,Ecosport TITANIUM 1.5L PETROL,Ecosport TITANIUM 1.5L PETROL,Manual,"56,500 km",2nd owner,Petrol,MH47-K6601,"₹9,716/month",₹4.97 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2015,Wagon R 1.0 VXI,Wagon R 1.0 VXI,Manual,"40,716 km",1st owner,Petrol,MH47-A5041,"₹6,647/month",₹3.4 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Creta SX PLUS 1.6 DIESEL,Creta SX PLUS 1.6 DIESEL,Manual,"77,586 km",1st owner,Diesel,MH01-CH6643,"₹15,227/month",₹8 Lakh,On Zero down payment,"Goregaon, Mumbai"
Mahindra,2017,XUV500 W10 AT,XUV500 W10 AT,Automatic,"57,449 km",1st owner,Diesel,MH02-EU0898,"₹22,346/month",₹11.74 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2020,WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Manual,"42,897 km",1st owner,Petrol,MH31-FR1686,"₹15,230/month",₹7.79 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Swift Dzire ZDI,Swift Dzire ZDI,Manual,"11,144 km",1st owner,Diesel,MH05-CM9865,"₹16,143/month",₹6.13 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2019,WR-V 1.2L I-VTEC S MT,WR-V 1.2L I-VTEC S MT,Manual,"14,144 km",1st owner,Petrol,MH03-DA7141,"₹12,923/month",₹6.61 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2017,City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Automatic,"33,613 km",1st owner,Petrol,MH43-BK1659,"₹15,722/month",₹8.26 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2018,City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Manual,"93,703 km",2nd owner,Petrol,MH01-DB0756,"₹13,763/month",₹7.04 Lakh,On Zero down payment,"Goregaon, Mumbai"
KIA,2020,SELTOS GTX PLUS DCT 1.4 PETROL,SELTOS GTX PLUS DCT 1.4 PETROL,Automatic,"65,200 km",1st owner,Petrol,MH01-DK7925,"₹26,534/month",₹13.94 Lakh,On Zero down payment,"Mulund West, Mumbai"
Honda,2018,WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Manual,"59,897 km",1st owner,Petrol,MH43-BN0720,"₹13,900/month",₹7.11 Lakh,On Zero down payment,"Goregaon, Mumbai"
Hyundai,2016,Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Automatic,"83,626 km",1st owner,Petrol,MH02-EE8694,"₹16,255/month",₹8.54 Lakh,On Zero down payment,"Goregaon, Mumbai"
