Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Mahindra,2019,XUV300 W6 1.5 DIESEL,Manual,28660,1st,Diesel,DL8C-AZ1825,17684,795000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Manual,84938,2nd,CNG,HR26-DA6141,16216,729000,0,Parsvnath City Mall,Delhi
Tata,2021,Safari XZ,Manual,30203,1st,Diesel,DL12-CU2961,30683,1612000,0,Chhatarpur,Delhi
Tata,2020,Tiago XZ PLUS PETROL,Manual,18457,1st,Petrol,UP16-CU3581,11144,570000,0,KW Delhi 6,Delhi
Maruti,2020,New Wagon-R VXI 1.2,Manual,6175,1st,Petrol,DL9C-AT7320,10049,513999,0,Sector-18,Delhi
Hyundai,2014,Santro Xing GL PLUS,Manual,68366,1st,Petrol,DL8C-AF5402,4671,210000,0,"Metro Walk, Rohini, New Delhi",Delhi
KIA,2022,CARENS LUXURY PLUS 1.4 PETROL 6 STR,Manual,24315,1st,Petrol,UP16-DD6854,31920,1677000,0,Sector-18,Delhi
Mahindra,2020,XUV300 W6 1.2 PETROL,Manual,40924,1st,Petrol,DL7C-R5127,14291,731000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2020,AURA S 1.2 CNG,Manual,52647,1st,CNG,UP14-EL5178,13079,669000,0,Sector-18,Delhi
Tata,2022,NEXON XZ PLUS (O) PETROL DARK EDITION,Manual,28067,1st,Petrol,HR87-H6560,19719,1036000,0,Parsvnath City Mall,Delhi
Maruti,2012,Wagon R 1.0 VXI,Manual,74637,2nd,Petrol,DL6C-M2328,6743,202999,0,KW Delhi 6,Delhi
Mahindra,2023,XUV300 W8 (O) 1.2 PETROL,Manual,12057,1st,Petrol,UP65-EV8108,22574,1186000,0,KW Delhi 6,Delhi
Hyundai,2016,i20 Active 1.2 S,Manual,46923,1st,Petrol,UP16-BH1617,9951,509000,0,Sector-18,Delhi
Tata,2022,NEXON XZ PLUS PETROL SUNROOF,Manual,42490,1st,Petrol,UP16-DC0621,18939,994999,0,Sector-18,Delhi
Tata,2022,Tiago XZ PLUS CNG,Manual,22213,1st,CNG,DL9C-AX5084,14509,742000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2011,i10 SPORTZ 1.2 AT,Automatic,61445,4th,Petrol,DL3C-BV4686,9415,200000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Maruti,2017,Baleno DELTA PETROL 1.2,Manual,89083,1st,Petrol,DL12-CM0128,8491,434000,0,Chhatarpur,Delhi
Renault,2020,Kwid RXT 1.0 AMT (O),Automatic,52813,1st,Petrol,DL3C-CT3254,8250,422000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2019,NEW SANTRO SPORTZ MT,Manual,65427,1st,Petrol,HR26-DY9583,8348,426999,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Volkswagen,2022,VIRTUS COMFORTLINE TSI 1.0 MT,Manual,26431,1st,Petrol,HR26-EW8316,17473,918000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Hyundai,2020,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,56055,1st,Petrol,DL4C-AZ6075,10772,551000,0,GIP Mall,Delhi
Hyundai,2021,NEW I20 ASTA (O) 1.0 TURBO GDI DCT,Automatic,20607,2nd,Petrol,DL3C-CU1607,18120,952000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2013,i20 SPORTZ 1.2,Manual,50975,1st,Petrol,DL7C-P5395,8137,309000,0,Chhatarpur,Delhi
Maruti,2018,Swift LXI,Manual,48748,2nd,Petrol,DL8C-AV3224,8250,422000,0,KW Delhi 6,Delhi
Hyundai,2015,Grand i10 ASTA AT 1.2 KAPPA VTVT,Automatic,49639,2nd,Petrol,UP16-BB2741,8680,444000,0,Sector-18,Delhi
Honda,2017,WR-V 1.2L I-VTEC S MT,Manual,31154,1st,Petrol,HR26-DE4505,10195,521000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Maruti,2023,Alto VXI PLUS,Manual,17825,1st,Petrol,DL9C-BB5602,8328,426000,0,KW Delhi 6,Delhi
Maruti,2022,Baleno ZETA PETROL 1.2,Manual,17600,1st,Petrol,DL9C-AY8733,15562,796000,0,"Metro Walk, Rohini, New Delhi",Delhi
Honda,2019,WR-V 1.2L I-VTEC VX MT,Manual,17242,1st,Petrol,DL11-CB6563,14760,755000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2020,Baleno SIGMA PETROL 1.2,Manual,25069,1st,Petrol,HR98-6148,11144,570000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Tata,2020,ALTROZ XT PETROL,Manual,44696,1st,Petrol,HR51-CB5789,12708,650000,0,Parsvnath City Mall,Delhi
Hyundai,2019,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,33693,1st,Petrol,UP14-EB0540,10342,529000,0,Sector-18,Delhi
Maruti,2021,IGNIS SIGMA 1.2,Manual,25742,1st,Petrol,HR26-ES9650,9892,505999,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2021,IGNIS ZETA 1.2 AMT,Automatic,13494,1st,Petrol,UP16-CY4024,12803,655000,0,GIP Mall,Delhi
Maruti,2017,IGNIS ALPHA 1.2,Manual,52939,2nd,Petrol,DL12-CL1248,8250,422000,0,Sector-18,Delhi
Maruti,2018,Baleno DELTA PETROL 1.2,Manual,73594,1st,Petrol,UP16-BY2021,10049,513999,0,GIP Mall,Delhi
Datsun,2019,Redi Go A,Manual,22205,1st,Petrol,DL7C-R4758,4888,250000,0,Sector-18,Delhi
Hyundai,2018,Creta SX PLUS AT 1.6 PETROL,Automatic,86490,1st,Petrol,DL2C-AY7019,18412,967000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2023,BREZZA VXI SMART HYBRID,Manual,19281,1st,Petrol,HR51-CK7914,18577,976000,0,"Spaze Platinum, Sohna Road, Gu...",Delhi
Nissan,2022,MAGNITE XE,Manual,13589,1st,Petrol,HR29-AZ3534,11054,565000,0,Parsvnath City Mall,Delhi
Maruti,2019,Swift LXI,Manual,57073,1st,Petrol,DL5C-Q9128,9247,473000,0,GIP Mall,Delhi
Volkswagen,2023,VIRTUS HIGHLINE TSI 1.0 AT,Automatic,9083,1st,Petrol,HR98-K3810,26895,1413000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Tata,2022,NEXON XZ PLUS (L) DARK EDITION,Manual,36070,1st,Petrol,DL3C-CX8770,21566,1133000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2015,Wagon R 1.0 LXI,Manual,35851,1st,Petrol,DL2C-AT8426,5455,279000,0,Sector-18,Delhi
Hyundai,2019,Verna 1.6 VTVT SX (O) AT,Automatic,40798,2nd,Petrol,HR51-BX1455,17435,916000,0,Parsvnath City Mall,Delhi
Maruti,2021,Alto VXI,Manual,54855,1st,Petrol,UP14-EU4732,7194,368000,0,GIP Mall,Delhi
Maruti,2019,Baleno ZETA CVT PETROL 1.2,Automatic,22779,2nd,Petrol,UP16-DL8895,13216,676000,0,Sector-18,Delhi
Maruti,2016,Celerio VXI,Manual,54080,2nd,Petrol,HR26-CV7265,6041,309000,0,"Metro Walk, Rohini, New Delhi",Delhi
Hyundai,2018,Elite i20 ASTA 1.2 (O),Manual,48575,3rd,Petrol,DL5C-P6482,10577,541000,0,Chhatarpur,Delhi
Ford,2017,Ecosport AMBIENTE 1.5L PETROL,Manual,86358,1st,Petrol,DL10-CJ0531,9521,487000,0,"Metro Walk, Rohini, New Delhi",Delhi
Maruti,2022,Baleno ALPHA PETROL 1.2,Manual,32318,1st,CNG,HR51-CG8647,15542,795000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Honda,2018,WR-V 1.5L I-DTEC S MT,Manual,51943,2nd,Diesel,DL9C-AP9731,12535,476000,0,GIP Mall,Delhi
Hyundai,2014,Eon ERA +,Manual,44972,2nd,Petrol,UP37-C2751,4360,196000,0,Sector-18,Delhi
Maruti,2018,Swift VXI,Manual,35356,2nd,Petrol,DL2C-AY3227,9775,500000,0,"Metro Walk, Rohini, New Delhi",Delhi
Tata,2021,ALTROZ XM PLUS PETROL,Manual,43427,2nd,Petrol,HR22-S7462,11574,592000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Maruti,2018,Swift LXI,Manual,53062,1st,Petrol,HR72-D1272,8543,437000,0,"M3M Urbana, Golf Course Ext., ...",Delhi
Hyundai,2017,Elite i20 MAGNA EXECUTIVE 1.2,Manual,59105,1st,CNG,DL8C-AS3680,9580,490000,0,Chhatarpur,Delhi
Hyundai,2019,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,29932,1st,Petrol,HR52-F5035,10283,526000,0,"Metro Walk, Rohini, New Delhi",Delhi
Volkswagen,2014,Polo HIGHLINE1.2L,Manual,53792,2nd,Petrol,DL3C-BW3319,8164,367000,0,Sector-18,Delhi
Nissan,2022,MAGNITE XV RED EDITION,Manual,15648,1st,Petrol,DL14-CG4695,13861,709000,0,"Metro Walk, Rohini, New Delhi",Delhi
Toyota,2017,Fortuner 2.8 4X2 AT,Automatic,103102,1st,Diesel,DL8C-AQ2032,74742,2283000,0,"Metro Walk, Rohini, New Delhi",Delhi
