Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Hyundai,2014,Xcent S (O) 1.2,Manual,34833,1st,Petrol,MH46-Z9310,8942,401999,0,Goregaon,Mumbai
Maruti,2016,Baleno ZETA PETROL 1.2,Manual,46564,1st,Petrol,MH48-AK7889,9971,509999,0,Mulund West,Mumbai
Maruti,2021,New Wagon-R LXI CNG (O) 1.0,Manual,36188,1st,CNG,MH47-AY1975,12123,620000,0,Mulund West,Mumbai
Hyundai,2022,AURA SX PLUS 1.2 AMT,Automatic,20883,1st,Petrol,MH04-LB5922,16084,844999,0,Goregaon,Mumbai
Maruti,2013,Wagon R 1.0 LXI CNG,Manual,75349,2nd,CNG,MH46-X1584,14263,303000,0,Mulund West,Mumbai
Hyundai,2016,Xcent S 1.2,Manual,95722,3rd,Petrol,MH43-AT9483,6940,355000,0,Mulund West,Mumbai
Hyundai,2019,VENUE SX PLUS 1.0 TURBO DCT,Automatic,53229,1st,Petrol,MH04-KD7021,16426,863000,0,Goregaon,Mumbai
Honda,2013,Brio VX AT,Automatic,56041,2nd,Petrol,MH04-GE5772,8822,335000,0,Goregaon,Mumbai
Maruti,2015,Wagon R 1.0 VXI AMT,Automatic,95214,1st,Petrol,MH43-AT7159,6237,319000,0,Mulund West,Mumbai
Maruti,2016,Vitara Brezza ZDI PLUS,Manual,74960,3rd,Diesel,MH02-EK3168,12688,649000,0,Goregaon,Mumbai
Maruti,2021,New Wagon-R LXI CNG (O) 1.0,Manual,13106,1st,CNG,MH04-KR8256,12414,635000,0,Mulund West,Mumbai
Maruti,2015,Wagon R 1.0 LXI CNG,Manual,29830,1st,CNG,MH47-A4031,9717,369000,0,Seawood,Mumbai
Maruti,2019,S PRESSO VXI PLUS AMT,Automatic,21125,1st,Petrol,MH01-DK4808,9065,463999,0,Seawood,Mumbai
Hyundai,2016,Creta SX PLUS 1.6 PETROL,Manual,71684,1st,Petrol,MH01-CD8985,14369,735000,0,Goregaon,Mumbai
Honda,2019,City 1.5L I-VTEC VX CVT,Automatic,54705,1st,Petrol,MH01-DE9747,18235,958000,0,Goregaon,Mumbai
Maruti,2016,Baleno DELTA PETROL 1.2,Manual,43373,1st,Petrol,MH47-Q2451,9814,501999,0,Mulund West,Mumbai
Hyundai,2016,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,59809,2nd,Petrol,MH05-CV5645,7273,372000,0,Seawood,Mumbai
Maruti,2016,Baleno DELTA PETROL 1.2,Manual,43273,1st,Petrol,MH01-CH1712,9873,505000,0,Goregaon,Mumbai
Hyundai,2017,Creta SX PLUS 1.6 PETROL,Manual,47534,2nd,Petrol,MH05-DH3208,15190,777000,0,Goregaon,Mumbai
Skoda,2018,Rapid STYLE 1.6 MPI AT,Automatic,49088,1st,Petrol,MH01-DE3250,13490,690000,0,Goregaon,Mumbai
